,year,month,day,hour,powerusage,date,weekday,day_name,weekday_status,season,날짜,MEF,min_cutoff,max_cutoff,변화율_100이상_주중,변화율_100미만_주중,변화율_100이상_주말,변화율_100미만_주말,최대제한,최소제한,optimized_powerusage,MEF_CO2
7281,2020,10,30,9,88.38,2020-10-30 09:00:00,4,Friday,O,가을,2020-10-30,0.6985444577935196,22.9,115.49,116.31129879724453,90.35642116695804,159.06301642537494,77.06443238896956,102.79592587700472,79.85700502735752,60.92884349510331,-19.175853236518105
7282,2020,10,30,10,85.9,2020-10-30 10:00:00,4,Friday,O,가을,2020-10-30,0.7824195330539763,22.37,111.35,114.53795920558679,90.64287021627435,172.3047696503571,79.1250133489267,98.38810695759906,77.86222551577967,71.40490939551498,-11.341242022336255
7283,2020,10,30,11,80.99,2020-10-30 11:00:00,4,Friday,O,가을,2020-10-30,0.6428495237381266,25.95,118.37,112.77698987847151,91.33475264031175,144.81544688451802,71.1621514829658,91.33808410257407,73.97201616338847,81.60442321298444,0.3949816698407021
7284,2020,10,30,12,85.76,2020-10-30 12:00:00,4,Friday,O,가을,2020-10-30,0.7009079515479463,25.22,115.8,110.1342239243843,91.78233011168707,159.14383556034656,69.69956090414726,94.45111043755197,78.71252630378284,102.73149508443186,11.895455854335168
7285,2020,10,30,13,72.17,2020-10-30 13:00:00,4,Friday,O,가을,2020-10-30,0.6433410036174803,22.77,110.22,114.72942500130861,90.6570874204904,148.94273487564664,75.6298069283324,82.80022602344442,65.42721999136792,106.99839786690524,22.406536438083723
7286,2020,10,30,14,67.74,2020-10-30 14:00:00,4,Friday,O,가을,2020-10-30,0.5946036167747593,21.76,107.53,111.75028252524388,91.9554731876532,139.04860158335433,78.93792486922636,75.69964138260019,62.29063753731627,88.38627422575475,12.276349327557268
7287,2020,10,30,15,73.73,2020-10-30 15:00:00,4,Friday,O,가을,2020-10-30,0.7006423855585755,22.28,109.57,111.9075689233242,91.46051011585976,159.61518127597677,77.61708894770295,82.50945056716695,67.43383410842341,78.52469376224593,3.359365675602808
7288,2020,10,30,16,81.12,2020-10-30 16:00:00,4,Friday,O,가을,2020-10-30,0.7178299141404701,22.2,133.6,114.48926469169822,92.50300084337263,171.68154384092176,72.06747645313921,92.87369151790561,75.03843428414389,70.69032990336972,-7.48672918997755
7289,2020,10,30,17,89.46,2020-10-30 17:00:00,4,Friday,O,가을,2020-10-30,0.8393132223817604,22.97,125.42,117.29134414285154,91.79955366720846,147.85318375334947,74.30502778598647,104.92883647019498,82.12388071068467,63.8199827515215,-21.520005498744403
7290,2020,10,30,18,92.56,2020-10-30 18:00:00,4,Friday,O,가을,2020-10-30,0.7763683464004296,27.52,108.54,113.32322140607077,90.79348608052362,130.72345300301006,80.42136763442653,104.89197373345911,84.03845071613267,78.79549222972156,-10.686328136626939
